Unnamed: 0,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,Number of Sworn Officers,Number Wearing Body Cameras,Coverage,Fairness,Section of Provision,Policy Language/ Explanation,Transparency,Section of Provision(s),Policy Language/ Explanation.1,Privacy,Section of Provision.1,Policy Language/ Explanation.2,Accountability,Section of Provision.2,Policy Language/ Explanation.3
,shot,vehicle,24.0,F,H,San Jose,CA,False,attack,Car,False,900,15,2%,Yes,16.C,"""Following an Officer-Involved Incident involved officers, herein defined as both involved officers and witness officers to the incident, personnel and their representative(s) shall not view their video, or any video capturing their image or the incident on any device.
The initial interview of an officer involved in an Officer-Involved Incident should occur before the officer has reviewed any audio/video recordings of the incident. Once an involved officer has provided an initial statement, he will have an opportunity to review any available recordings with his representative. The officer shall then be afforded an opportunity to provide a follow-up statement after having reviewed the recording(s). The Chief or designee shall have discretion to permit officers to review video files prior to the initial interview.""
Officers are permitted to view footage prior to making statements concerning  incidents and activities except for officer involved shootings, in-custody deaths or  serious injuries.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""All recordings are subject to PRA [Public Records Act]. Like 9-1-1 calls, they are considered records of investigation. There are many legal cases pending that may eventually affect how/if files are released to the public, but R&D’s [Research & Development] PRA staff will coordinate with the City Attorney’s Office before release of any video.""
Records of investigation are currently exempt from public records requests in California.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""The City’s Retention policy dictates how long evidence is stored. This policy can be found in the City Policy Manual. We will work to make this retention schedule readily available to Dept. members and the public. Currently, the policy states the footage will be kept no less than one year.""",No,Not specified in policy,No policy language
,shot,gun,,M,W,San Jose,CA,False,attack,Car,False,900,15,2%,Yes,16.C,"""Following an Officer-Involved Incident involved officers, herein defined as both involved officers and witness officers to the incident, personnel and their representative(s) shall not view their video, or any video capturing their image or the incident on any device.
The initial interview of an officer involved in an Officer-Involved Incident should occur before the officer has reviewed any audio/video recordings of the incident. Once an involved officer has provided an initial statement, he will have an opportunity to review any available recordings with his representative. The officer shall then be afforded an opportunity to provide a follow-up statement after having reviewed the recording(s). The Chief or designee shall have discretion to permit officers to review video files prior to the initial interview.""
Officers are permitted to view footage prior to making statements concerning  incidents and activities except for officer involved shootings, in-custody deaths or  serious injuries.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""All recordings are subject to PRA [Public Records Act]. Like 9-1-1 calls, they are considered records of investigation. There are many legal cases pending that may eventually affect how/if files are released to the public, but R&D’s [Research & Development] PRA staff will coordinate with the City Attorney’s Office before release of any video.""
Records of investigation are currently exempt from public records requests in California.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""The City’s Retention policy dictates how long evidence is stored. This policy can be found in the City Policy Manual. We will work to make this retention schedule readily available to Dept. members and the public. Currently, the policy states the footage will be kept no less than one year.""",No,Not specified in policy,No policy language
,shot,vehicle,,M,,San Jose,CA,False,attack,Car,True,900,15,2%,Yes,16.C,"""Following an Officer-Involved Incident involved officers, herein defined as both involved officers and witness officers to the incident, personnel and their representative(s) shall not view their video, or any video capturing their image or the incident on any device.
The initial interview of an officer involved in an Officer-Involved Incident should occur before the officer has reviewed any audio/video recordings of the incident. Once an involved officer has provided an initial statement, he will have an opportunity to review any available recordings with his representative. The officer shall then be afforded an opportunity to provide a follow-up statement after having reviewed the recording(s). The Chief or designee shall have discretion to permit officers to review video files prior to the initial interview.""
Officers are permitted to view footage prior to making statements concerning  incidents and activities except for officer involved shootings, in-custody deaths or  serious injuries.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""All recordings are subject to PRA [Public Records Act]. Like 9-1-1 calls, they are considered records of investigation. There are many legal cases pending that may eventually affect how/if files are released to the public, but R&D’s [Research & Development] PRA staff will coordinate with the City Attorney’s Office before release of any video.""
Records of investigation are currently exempt from public records requests in California.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""The City’s Retention policy dictates how long evidence is stored. This policy can be found in the City Policy Manual. We will work to make this retention schedule readily available to Dept. members and the public. Currently, the policy states the footage will be kept no less than one year.""",No,Not specified in policy,No policy language
,shot,knife,67.0,M,,San Jose,CA,False,other,Not fleeing,False,900,15,2%,Yes,16.C,"""Following an Officer-Involved Incident involved officers, herein defined as both involved officers and witness officers to the incident, personnel and their representative(s) shall not view their video, or any video capturing their image or the incident on any device.
The initial interview of an officer involved in an Officer-Involved Incident should occur before the officer has reviewed any audio/video recordings of the incident. Once an involved officer has provided an initial statement, he will have an opportunity to review any available recordings with his representative. The officer shall then be afforded an opportunity to provide a follow-up statement after having reviewed the recording(s). The Chief or designee shall have discretion to permit officers to review video files prior to the initial interview.""
Officers are permitted to view footage prior to making statements concerning  incidents and activities except for officer involved shootings, in-custody deaths or  serious injuries.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""All recordings are subject to PRA [Public Records Act]. Like 9-1-1 calls, they are considered records of investigation. There are many legal cases pending that may eventually affect how/if files are released to the public, but R&D’s [Research & Development] PRA staff will coordinate with the City Attorney’s Office before release of any video.""
Records of investigation are currently exempt from public records requests in California.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""The City’s Retention policy dictates how long evidence is stored. This policy can be found in the City Policy Manual. We will work to make this retention schedule readily available to Dept. members and the public. Currently, the policy states the footage will be kept no less than one year.""",No,Not specified in policy,No policy language
,shot,toy weapon,33.0,M,W,San Jose,CA,True,attack,Not fleeing,True,900,15,2%,Yes,16.C,"""Following an Officer-Involved Incident involved officers, herein defined as both involved officers and witness officers to the incident, personnel and their representative(s) shall not view their video, or any video capturing their image or the incident on any device.
The initial interview of an officer involved in an Officer-Involved Incident should occur before the officer has reviewed any audio/video recordings of the incident. Once an involved officer has provided an initial statement, he will have an opportunity to review any available recordings with his representative. The officer shall then be afforded an opportunity to provide a follow-up statement after having reviewed the recording(s). The Chief or designee shall have discretion to permit officers to review video files prior to the initial interview.""
Officers are permitted to view footage prior to making statements concerning  incidents and activities except for officer involved shootings, in-custody deaths or  serious injuries.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""All recordings are subject to PRA [Public Records Act]. Like 9-1-1 calls, they are considered records of investigation. There are many legal cases pending that may eventually affect how/if files are released to the public, but R&D’s [Research & Development] PRA staff will coordinate with the City Attorney’s Office before release of any video.""
Records of investigation are currently exempt from public records requests in California.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""The City’s Retention policy dictates how long evidence is stored. This policy can be found in the City Policy Manual. We will work to make this retention schedule readily available to Dept. members and the public. Currently, the policy states the footage will be kept no less than one year.""",No,Not specified in policy,No policy language
,shot,gun,29.0,M,,San Jose,CA,False,other,Not fleeing,False,900,15,2%,Yes,16.C,"""Following an Officer-Involved Incident involved officers, herein defined as both involved officers and witness officers to the incident, personnel and their representative(s) shall not view their video, or any video capturing their image or the incident on any device.
The initial interview of an officer involved in an Officer-Involved Incident should occur before the officer has reviewed any audio/video recordings of the incident. Once an involved officer has provided an initial statement, he will have an opportunity to review any available recordings with his representative. The officer shall then be afforded an opportunity to provide a follow-up statement after having reviewed the recording(s). The Chief or designee shall have discretion to permit officers to review video files prior to the initial interview.""
Officers are permitted to view footage prior to making statements concerning  incidents and activities except for officer involved shootings, in-custody deaths or  serious injuries.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""All recordings are subject to PRA [Public Records Act]. Like 9-1-1 calls, they are considered records of investigation. There are many legal cases pending that may eventually affect how/if files are released to the public, but R&D’s [Research & Development] PRA staff will coordinate with the City Attorney’s Office before release of any video.""
Records of investigation are currently exempt from public records requests in California.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""The City’s Retention policy dictates how long evidence is stored. This policy can be found in the City Policy Manual. We will work to make this retention schedule readily available to Dept. members and the public. Currently, the policy states the footage will be kept no less than one year.""",No,Not specified in policy,No policy language
,shot,knife,26.0,M,H,San Jose,CA,False,attack,Not fleeing,True,900,15,2%,Yes,16.C,"""Following an Officer-Involved Incident involved officers, herein defined as both involved officers and witness officers to the incident, personnel and their representative(s) shall not view their video, or any video capturing their image or the incident on any device.
The initial interview of an officer involved in an Officer-Involved Incident should occur before the officer has reviewed any audio/video recordings of the incident. Once an involved officer has provided an initial statement, he will have an opportunity to review any available recordings with his representative. The officer shall then be afforded an opportunity to provide a follow-up statement after having reviewed the recording(s). The Chief or designee shall have discretion to permit officers to review video files prior to the initial interview.""
Officers are permitted to view footage prior to making statements concerning  incidents and activities except for officer involved shootings, in-custody deaths or  serious injuries.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""All recordings are subject to PRA [Public Records Act]. Like 9-1-1 calls, they are considered records of investigation. There are many legal cases pending that may eventually affect how/if files are released to the public, but R&D’s [Research & Development] PRA staff will coordinate with the City Attorney’s Office before release of any video.""
Records of investigation are currently exempt from public records requests in California.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""The City’s Retention policy dictates how long evidence is stored. This policy can be found in the City Policy Manual. We will work to make this retention schedule readily available to Dept. members and the public. Currently, the policy states the footage will be kept no less than one year.""",No,Not specified in policy,No policy language
,shot,unarmed,27.0,M,H,San Jose,CA,False,other,Foot,True,900,15,2%,Yes,16.C,"""Following an Officer-Involved Incident involved officers, herein defined as both involved officers and witness officers to the incident, personnel and their representative(s) shall not view their video, or any video capturing their image or the incident on any device.
The initial interview of an officer involved in an Officer-Involved Incident should occur before the officer has reviewed any audio/video recordings of the incident. Once an involved officer has provided an initial statement, he will have an opportunity to review any available recordings with his representative. The officer shall then be afforded an opportunity to provide a follow-up statement after having reviewed the recording(s). The Chief or designee shall have discretion to permit officers to review video files prior to the initial interview.""
Officers are permitted to view footage prior to making statements concerning  incidents and activities except for officer involved shootings, in-custody deaths or  serious injuries.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""All recordings are subject to PRA [Public Records Act]. Like 9-1-1 calls, they are considered records of investigation. There are many legal cases pending that may eventually affect how/if files are released to the public, but R&D’s [Research & Development] PRA staff will coordinate with the City Attorney’s Office before release of any video.""
Records of investigation are currently exempt from public records requests in California.",No,http://www.sjpd.org/InsideSJPD/BodyCameras/,"""The City’s Retention policy dictates how long evidence is stored. This policy can be found in the City Policy Manual. We will work to make this retention schedule readily available to Dept. members and the public. Currently, the policy states the footage will be kept no less than one year.""",No,Not specified in policy,No policy language
,shot,knife,20.0,F,B,Charlotte,NC,True,other,Not fleeing,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,30.0,M,B,Charlotte,NC,False,attack,Not fleeing,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,33.0,M,B,Charlotte,NC,False,attack,Not fleeing,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,41.0,M,A,Charlotte,NC,True,attack,Not fleeing,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,18.0,M,B,Charlotte,NC,False,other,Not fleeing,True,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,unarmed,29.0,M,W,Charlotte,NC,False,other,Car,True,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,43.0,M,B,Charlotte,NC,False,other,Not fleeing,True,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,18.0,M,B,Charlotte,NC,False,undetermined,Not fleeing,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,28.0,M,H,Charlotte,NC,False,other,Car,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,25.0,M,W,Charlotte,NC,True,other,Not fleeing,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,29.0,M,H,Charlotte,NC,False,other,Not fleeing,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,23.0,M,B,Charlotte,NC,False,attack,Not fleeing,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,knife,27.0,M,W,Charlotte,NC,True,other,Not fleeing,True,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,knife,32.0,M,W,Charlotte,NC,False,other,Foot,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,27.0,M,B,Charlotte,NC,True,other,Not fleeing,True,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,55.0,M,B,Charlotte,NC,True,attack,Not fleeing,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,gun,33.0,M,B,Charlotte,NC,False,attack,Not fleeing,False,1849,1849,100%,No,3.c,"""Officers may review BWC video to aid in completing reports, providing
statements or court testimony.""",No, J.4.a and V.F,"As per CMPD policy, any footage showing a deadly force incident won't be shown to the complainant without the Chief's prior approval. The CMPD Chief has also been clear that footage will be released on a case by case basis as per his discretion.",Yes,J.7,"All footage not depicting a misdemeanor, felony, activity relevant to an internal investigation or criminal investigation will be retained for 45 days.",No,II.b,"Policy states that ""any violation of this directive is considered a violation of Rule of Conduct (ROC) #42
(Use of Body Worn Cameras) and will be investigated."" However, there are no guidelines for how officers who violate this rule should be disciplined."
,shot,knife,45.0,M,B,Milwaukee,WI,True,other,Not fleeing,False,1868,200,11%,No,I.1.b,"Recordings may be reviewed: ""By a police member viewing their individually assigned recordings to assist with writing a report, supplement, citation, memorandum or court case preparation.""

""In the event of a critical incident, members assigned a BWC will refrain from viewing the recorded data until the investigative entity responsible for the investigation arrives on scene and any permitted viewing can be done in
conjunction with current critical incident protocols. This section does not prohibit
members in critical incidents with ongoing exigency from viewing BWC recordings that may aid the present investigation (e.g., suspect descriptions, suspect vehicles, direction of travel).""",Yes,J.4-5,"""4. Members will not allow citizens to review video captured by a BWC unless there is an investigative reason to do so and such viewing has been approved by a
supervisor. Members shall advise citizens that they may request a copy of the recording through the public records process.
5. The release of video requested through a public records request will be handled in accordance with existing policy and public records laws. Reproduction fees for duplication of recordings will be established by the City of Milwaukee. See SOP265 Open Records for additional information."" (It appears that redacted body camera footage would be public record as per Wisconsin state law. Madison WI police chief has stated that it would be included as public record: http://host.madison.com/news/local/crime_and_courts/body-cameras-are-coming-to-madison-what-does-it-mean/article_282aff00-5b2d-5a24-bf85-769388b204bb.html)",No,J.1,"""All digital media that is captured with a BWC is the property of and will be retained by the Milwaukee Police Department for a minimum of 120 days following the date it is recorded. Captured video may be retained for longer periods in the event the
video is the subject of a litigation hold, a criminal case, part of discovery, etc.""
""12. Administrative Hold
a. Any recording can be placed on administrative hold by a supervisor.""
Because there are no criteria or restrictions provided for what can be included as""Administrative Hold"", this policy was categorized as a ""No"" regarding privacy.",No,Not specified in policy,No policy language
,shot,gun,38.0,M,B,Milwaukee,WI,False,attack,Foot,True,1868,200,11%,No,I.1.b,"Recordings may be reviewed: ""By a police member viewing their individually assigned recordings to assist with writing a report, supplement, citation, memorandum or court case preparation.""

""In the event of a critical incident, members assigned a BWC will refrain from viewing the recorded data until the investigative entity responsible for the investigation arrives on scene and any permitted viewing can be done in
conjunction with current critical incident protocols. This section does not prohibit
members in critical incidents with ongoing exigency from viewing BWC recordings that may aid the present investigation (e.g., suspect descriptions, suspect vehicles, direction of travel).""",Yes,J.4-5,"""4. Members will not allow citizens to review video captured by a BWC unless there is an investigative reason to do so and such viewing has been approved by a
supervisor. Members shall advise citizens that they may request a copy of the recording through the public records process.
5. The release of video requested through a public records request will be handled in accordance with existing policy and public records laws. Reproduction fees for duplication of recordings will be established by the City of Milwaukee. See SOP265 Open Records for additional information."" (It appears that redacted body camera footage would be public record as per Wisconsin state law. Madison WI police chief has stated that it would be included as public record: http://host.madison.com/news/local/crime_and_courts/body-cameras-are-coming-to-madison-what-does-it-mean/article_282aff00-5b2d-5a24-bf85-769388b204bb.html)",No,J.1,"""All digital media that is captured with a BWC is the property of and will be retained by the Milwaukee Police Department for a minimum of 120 days following the date it is recorded. Captured video may be retained for longer periods in the event the
video is the subject of a litigation hold, a criminal case, part of discovery, etc.""
""12. Administrative Hold
a. Any recording can be placed on administrative hold by a supervisor.""
Because there are no criteria or restrictions provided for what can be included as""Administrative Hold"", this policy was categorized as a ""No"" regarding privacy.",No,Not specified in policy,No policy language
,shot,knife,49.0,M,B,Milwaukee,WI,False,attack,Not fleeing,True,1868,200,11%,No,I.1.b,"Recordings may be reviewed: ""By a police member viewing their individually assigned recordings to assist with writing a report, supplement, citation, memorandum or court case preparation.""

""In the event of a critical incident, members assigned a BWC will refrain from viewing the recorded data until the investigative entity responsible for the investigation arrives on scene and any permitted viewing can be done in
conjunction with current critical incident protocols. This section does not prohibit
members in critical incidents with ongoing exigency from viewing BWC recordings that may aid the present investigation (e.g., suspect descriptions, suspect vehicles, direction of travel).""",Yes,J.4-5,"""4. Members will not allow citizens to review video captured by a BWC unless there is an investigative reason to do so and such viewing has been approved by a
supervisor. Members shall advise citizens that they may request a copy of the recording through the public records process.
5. The release of video requested through a public records request will be handled in accordance with existing policy and public records laws. Reproduction fees for duplication of recordings will be established by the City of Milwaukee. See SOP265 Open Records for additional information."" (It appears that redacted body camera footage would be public record as per Wisconsin state law. Madison WI police chief has stated that it would be included as public record: http://host.madison.com/news/local/crime_and_courts/body-cameras-are-coming-to-madison-what-does-it-mean/article_282aff00-5b2d-5a24-bf85-769388b204bb.html)",No,J.1,"""All digital media that is captured with a BWC is the property of and will be retained by the Milwaukee Police Department for a minimum of 120 days following the date it is recorded. Captured video may be retained for longer periods in the event the
video is the subject of a litigation hold, a criminal case, part of discovery, etc.""
""12. Administrative Hold
a. Any recording can be placed on administrative hold by a supervisor.""
Because there are no criteria or restrictions provided for what can be included as""Administrative Hold"", this policy was categorized as a ""No"" regarding privacy.",No,Not specified in policy,No policy language
,shot,gun,23.0,M,B,Milwaukee,WI,False,other,Foot,True,1868,200,11%,No,I.1.b,"Recordings may be reviewed: ""By a police member viewing their individually assigned recordings to assist with writing a report, supplement, citation, memorandum or court case preparation.""

""In the event of a critical incident, members assigned a BWC will refrain from viewing the recorded data until the investigative entity responsible for the investigation arrives on scene and any permitted viewing can be done in
conjunction with current critical incident protocols. This section does not prohibit
members in critical incidents with ongoing exigency from viewing BWC recordings that may aid the present investigation (e.g., suspect descriptions, suspect vehicles, direction of travel).""",Yes,J.4-5,"""4. Members will not allow citizens to review video captured by a BWC unless there is an investigative reason to do so and such viewing has been approved by a
supervisor. Members shall advise citizens that they may request a copy of the recording through the public records process.
5. The release of video requested through a public records request will be handled in accordance with existing policy and public records laws. Reproduction fees for duplication of recordings will be established by the City of Milwaukee. See SOP265 Open Records for additional information."" (It appears that redacted body camera footage would be public record as per Wisconsin state law. Madison WI police chief has stated that it would be included as public record: http://host.madison.com/news/local/crime_and_courts/body-cameras-are-coming-to-madison-what-does-it-mean/article_282aff00-5b2d-5a24-bf85-769388b204bb.html)",No,J.1,"""All digital media that is captured with a BWC is the property of and will be retained by the Milwaukee Police Department for a minimum of 120 days following the date it is recorded. Captured video may be retained for longer periods in the event the
video is the subject of a litigation hold, a criminal case, part of discovery, etc.""
""12. Administrative Hold
a. Any recording can be placed on administrative hold by a supervisor.""
Because there are no criteria or restrictions provided for what can be included as""Administrative Hold"", this policy was categorized as a ""No"" regarding privacy.",No,Not specified in policy,No policy language
